DATE,HourlyDewPointTemperature_x,HourlyDryBulbTemperature_x,HourlyWindpeed_x,raidation,HourlyDryBulbTemperature_y,Total Population,Housing Units,HourlyRelativeHumidity,HourlySeaLevelPressure,LU
2019-03-12T03,17,36,13,3,32,8342925,3494228,46,3011,2247
2019-03-12T09,18,37,9,9,35,8342925,3494228,50,3021,2247
2019-03-12T15,17,43,10,15,39,8342925,3494228,40,3020,2247
2019-03-12T18,16,39,9,18,34,8342925,3494228,41,3027,2247
2019-03-13T03,17,34,3,3,22,8342925,3494228,52,3034,2247
2019-03-13T09,19,40,5,9,34,8342925,3494228,45,3039,2247
2019-03-14T03,29,43,0,3,37,8342925,3494228,65,3024,2247
2019-03-14T09,33,50,0,9,47,8342925,3494228,52,3023,2247
2019-03-14T15,35,53,8,15,56,8342925,3494228,53,3011,2247
2019-03-15T03,44,50,0,3,37,8342925,3494228,83,2986,2247
2019-03-15T09,53,65,0,9,54,8342925,3494228,67,2980,2247
2019-03-15T15,51,68,3,15,68,8342925,3494228,65,2967,2247
2019-03-15T18,53,64,0,18,53,8342925,3494228,72,2960,2247
2019-03-16T03,30,50,9,3,42,8342925,3494228,44,2983,2247
2019-03-16T09,26,46,11,9,43,8342925,3494228,49,2996,2247
2019-03-16T15,18,49,15,15,41,8342925,3494228,30,2997,2247
2019-03-16T18,19,43,6,18,35,8342925,3494228,38,3006,2247
2019-03-17T03,13,36,5,3,29,8342925,3494228,42,3015,2247
2019-03-17T09,15,37,8,9,34,8342925,3494228,40,3021,2247
2019-03-17T15,11,44,5,15,39,8342925,3494228,23,3011,2247
2019-03-17T18,10,41,7,18,33,8342925,3494228,29,3017,2247
2019-03-18T03,10,33,0,3,21,8342925,3494228,36,3024,2247
2019-03-19T15,13,47,8,15,44,8342925,3494228,25,3037,2247
2019-03-19T18,13,46,0,18,38,8342925,3494228,40,3038,2247
2019-03-20T03,28,38,3,3,24,8342925,3494228,68,3039,2247
2019-03-20T15,17,49,5,15,50,8342925,3494228,28,3029,2247
2019-03-21T03,35,44,6,3,36,8342925,3494228,79,3016,2247
2019-03-21T09,42,44,3,9,39,8342925,3494228,89,3010,2247
2019-03-21T15,42,45,9,15,43,8342925,3494228,89,2990,2247
2019-03-21T18,38,41,11,18,40,8342925,3494228,86,2978,2247
2019-03-22T03,41,43,13,3,39,8342925,3494228,96,2931,2088
2019-03-22T09,37,43,10,9,39,8342925,3494228,76,2934,2088
2019-03-22T15,27,49,13,15,45,8342925,3494228,42,2937,2088
2019-03-22T18,29,44,9,18,40,8342925,3494228,52,2945,2088
2019-03-23T03,20,35,9,3,31,8342925,3494228,57,2963,2088
