DATE,delta,output,dewpoint,LST,,,Date
2019-03-12T03,4,5.198925619,1.43742264,4.781206794,0.174489017,0.406578781,03-12T03
2019-03-12T09,2,2.566875841,0.321348219,3.74759882,1.394106753,0.321477938,03-12T09
2019-03-12T15,4,2.858403775,1.303241941,3.070778506,0.045103026,,03-12T15
2019-03-12T18,5,4.428317358,0.326821043,4.856640705,0.18346089,,03-12T18
2019-03-13T03,12,10.51103933,2.217003877,10.84295215,0.11016612,,03-13T03
2019-03-13T09,6,3.494362038,6.278221597,5.62989311,4.560492959,,03-13T09
2019-03-14T03,6,10.1168499,16.9484531,9.822949875,0.086377225,,03-14T03
2019-03-14T09,3,4.72062795,2.960560542,3.69879,1.044152796,,03-14T09
2019-03-14T15,-3,2.139714856,26.4166688,1.756271432,0.147028859,,03-14T15
2019-03-15T03,13,8.835284091,17.3448586,9.822949875,0.975483701,,03-15T03
2019-03-15T09,11,2.653445396,69.66497376,3.760919847,1.22649966,,03-15T09
2019-03-15T15,0,-1.374066102,1.888057653,0.689080189,4.256572618,,03-15T15
2019-03-15T18,11,3.108183536,62.2807671,5.320025739,4.892245931,,03-15T18
2019-03-16T03,8,5.689581867,5.338031949,6.278180364,0.346448191,,03-16T03
2019-03-16T09,3,2.739282495,0.067973617,2.461157691,0.077353407,,03-16T09
2019-03-16T15,8,2.654652818,28.5727365,2.542771963,0.012517326,,03-16T15
2019-03-16T18,8,5.600380339,5.758174517,5.565435062,0.001221172,,03-16T18
2019-03-17T03,7,9.073794098,4.300621961,9.46996712,0.156953063,,03-17T03
2019-03-17T09,3,2.828790083,0.029312836,4.03756667,1.461140837,,03-17T09
2019-03-17T15,5,2.808971749,4.800604797,4.238531958,2.043642391,,03-17T15
2019-03-17T18,8,5.888453929,4.45862681,5.861021075,0.000752561,,03-17T18
2019-03-18T03,12,10.20898928,3.207719399,10.77785379,0.323606831,,03-18T03
2019-03-19T15,3,2.928402976,0.005126134,3.118580471,0.03616748,,03-19T15
2019-03-19T18,8,7.285147742,0.511013751,7.988821692,0.495157028,,03-19T18
2019-03-20T03,14,10.13182411,14.96278472,10.81879403,0.471927671,,03-20T03
2019-03-20T15,-1,2.542223522,12.54734748,3.3084385,0.587085393,,03-20T15
2019-03-21T03,8,7.637538916,0.131378037,6.817700316,0.67213533,,03-21T03
2019-03-21T09,5,2.789108772,4.888040022,4.435686914,2.711219578,,03-21T09
2019-03-21T15,2,-0.426232987,5.886606507,2.834393841,10.63168731,,03-21T15
2019-03-21T18,1,3.936905842,8.625415925,4.00539259,0.004690435,,03-21T18
2019-03-22T03,4,5.112431748,1.237504394,5.536958055,0.180222585,,03-22T03
2019-03-22T09,4,3.18634232,0.66203882,2.796566491,0.151925197,,03-22T09
2019-03-22T15,4,1.793873565,4.866993847,2.646115182,0.726315774,,03-22T15
2019-03-22T18,4,3.429763382,0.325169801,4.773637284,1.805997064,,03-22T18
2019-03-23T03,4,6.240759784,5.02100441,5.340819066,0.809893296,,03-23T03
2019-03-23T09,5,2.859649489,4.58110031,3.951806405,1.192806729,,03-23T09
2019-03-23T15,6,3.102672915,8.394504237,2.340317115,0.581186366,,03-23T15
2019-03-23T18,8,5.068523025,8.593557255,4.167145937,0.812480655,,03-23T18
2019-03-24T03,10,5.741873925,18.13163767,5.622323539,0.014292295,,03-24T03
2019-03-24T09,1,3.926308141,8.563279336,3.26324677,0.439650382,,03-24T09
2019-03-24T15,3,2.585106927,0.172136262,2.110609041,0.225148244,,03-24T15
2019-03-24T18,5,6.032183913,1.06540363,3.411770774,6.866565019,,03-24T18
2019-03-25T03,7,7.022185601,0.000492201,7.0982833,0.00579086,,03-25T03
2019-03-25T09,6,3.098545198,8.418439968,2.981028533,0.013810167,,03-25T09
2019-03-25T15,1,2.289823874,1.663645626,3.435592611,1.312785999,,03-25T15
2019-03-26T03,9,5.521648178,12.0989314,7.144703038,2.634307079,,03-26T03
