DATE,delta
2014-01-01T03,7
2014-01-01T09,4
2014-01-01T15,2
2014-01-01T18,5
2014-01-02T03,10
2014-01-02T09,10
2014-01-02T15,14
2014-01-02T18,14
2014-01-03T03,6
2014-01-03T15,4
2014-01-03T18,6
2014-01-04T03,14
2014-01-04T09,11
2014-01-04T18,16
2014-01-05T03,28
2014-01-05T09,18
2014-01-05T15,3
2014-01-05T18,6
2014-01-06T03,19
2014-01-06T15,5
2014-01-06T18,4
2014-01-07T03,3
2014-01-07T09,0
2014-01-07T15,1
2014-01-07T18,4
2014-01-08T03,5
2014-01-08T09,0
2014-01-08T15,1
2014-01-09T03,5
2014-01-09T09,1
2014-01-09T15,1
2014-01-09T18,12
2014-01-10T03,10
2014-01-10T09,7
2014-01-10T15,3
2014-01-10T18,3
2014-01-11T03,9
2014-01-11T09,17
2014-01-11T15,0
2014-01-11T18,4
2014-01-12T03,4
2014-01-12T09,3
2014-01-12T18,3
2014-01-13T03,9
2014-01-13T09,9
2014-01-13T15,7
2014-01-13T18,14
2014-01-14T03,13
2014-01-14T09,6
2014-01-14T15,5
2014-01-14T18,7
2014-01-25T15,4
2014-01-25T18,4
2014-01-26T09,3
2014-01-26T18,8
2014-01-27T03,17
2014-01-27T09,6
2014-01-27T15,6
2014-01-27T18,7
2014-01-28T03,7
2014-01-28T09,3
2014-01-28T15,3
2014-01-28T18,4
2014-01-29T03,1
2014-01-29T09,2
2014-01-29T15,0
2014-01-29T18,4
2014-01-30T03,14
2014-01-30T09,1
2014-01-30T15,0
2014-01-30T18,5
2014-01-31T03,6
2014-01-31T09,5
2014-01-31T15,-1
2014-01-31T18,7
2014-02-01T03,6
2014-02-01T09,4
2014-02-01T15,-1
2014-02-02T03,17
2014-02-02T09,4
2014-02-02T15,10
2014-02-02T18,10
2014-02-03T03,3
2014-02-03T09,3
2014-02-03T15,2
2014-02-03T18,3
2014-02-04T03,20
2014-02-04T09,9
2014-02-04T15,4
2014-02-04T18,4
2014-02-05T03,6
2014-02-05T09,8
2014-02-05T15,4
2014-02-05T18,5
2014-02-06T15,2
2014-02-06T18,11
2014-02-07T03,23
2014-02-07T09,5
2014-02-07T15,0
2014-02-07T18,5
2014-02-08T03,16
2014-02-08T09,3
2014-02-08T15,2
2014-02-08T18,9
2014-02-09T03,15
2014-02-09T09,9
2014-02-09T15,3
2014-02-09T18,4
2014-02-10T15,3
2014-02-10T18,7
2014-02-11T03,19
2014-02-11T09,3
2014-02-11T15,2
2014-02-12T03,21
2014-02-12T09,8
2014-02-12T15,3
2014-02-12T18,11
2014-02-13T03,12
2014-02-13T09,8
2014-02-13T15,7
2014-02-13T18,4
2014-02-14T03,1
2014-02-14T09,4
2014-02-14T15,2
2014-02-14T18,5
2014-02-15T03,19
2014-02-15T09,7
2014-02-15T15,3
2014-02-15T18,1
2014-02-16T03,4
2014-02-16T09,3
2014-02-16T15,4
2014-02-16T18,4
2014-02-17T09,2
2014-02-17T15,1
2014-02-17T18,20
2014-02-18T03,12
2014-02-18T09,10
2014-02-18T15,7
2014-02-19T03,29
2014-02-19T09,19
2014-02-19T15,11
2014-02-19T18,9
2014-02-20T03,12
2014-02-20T09,5
2014-02-20T15,4
2014-02-20T18,5
2014-02-21T03,3
2014-02-21T09,0
2014-02-21T15,9
2014-02-21T18,12
2014-02-22T03,15
2014-02-22T09,4
2014-02-23T03,22
2014-02-23T09,10
2014-02-23T15,8
2014-02-23T18,15
2014-02-24T03,7
2014-02-24T09,4
2014-02-24T15,7
2014-02-24T18,7
2014-02-25T03,9
2014-02-25T09,5
2014-02-25T15,2
2014-02-25T18,6
2014-02-26T09,4
2014-02-26T15,7
2014-02-26T18,8
2014-02-27T03,20
2014-02-27T09,11
2014-02-27T15,3
2014-02-27T18,6
2014-02-28T03,5
2014-02-28T09,2
2014-02-28T15,3
2014-02-28T18,7
2014-03-01T03,21
2014-03-01T09,11
2014-03-01T15,4
2014-03-01T18,5
2014-03-02T03,5
2014-03-02T09,6
2014-03-02T15,5
2014-03-02T18,6
2014-03-03T03,5
2014-03-03T09,5
2014-03-03T15,1
2014-03-03T18,9
2014-03-04T03,14
2014-03-04T09,6
2014-03-04T15,3
2014-03-04T18,4
2014-03-05T03,8
2014-03-05T09,10
2014-03-05T15,6
2014-03-05T18,6
2014-03-06T09,4
2014-03-06T15,1
2014-03-06T18,8
2014-03-07T03,23
2014-03-07T09,9
2014-03-07T15,0
2014-03-07T18,7
2014-03-08T03,7
2014-03-08T09,3
2014-03-08T15,5
2014-03-08T18,6
2014-03-09T03,5
2014-03-09T09,4
2014-03-09T15,5
2014-03-09T18,7
2014-03-10T03,6
2014-03-10T09,4
2014-03-10T18,10
2014-03-11T03,8
2014-03-11T09,5
